name,uses_cleaned_llm
Acimol Forte 100mg/325mg/15mg Tablet,Acimol Forte 100mg/325mg/15mg Tablet is utilized for pain relief.
Acitrom 4 Tablet,Acitrom 4 Tablet is utilized for managing blood clot-related conditions.
Aprecap 125/80 Capsule,Aprecap 125/80 Capsule is utilized for managing nausea and vomiting that may occur as a result of undergoing chemotherapy.
Anasure 5% Solution,Anasure 5% Solution is used for addressing hair loss issues.
Adaple-C Gel,Adaple-C Gel is utilized for treating acne conditions.
Akilos-P Tablet,Akilos-P Tablet is used for pain relief.
Azopt Opthalmic Suspension,Azopt Ophthalmic Suspension is used for the treatment of both glaucoma and ocular hypertension.
Amrolstar Cream,Amrolstar Cream is utilized for treating fungal nail infections.
Anosum Cream,Anosum Cream is used for the treatment of anal fissures.
AF 200 Tablet,AF 200 Tablet is used for the treatment of various fungal infections.
Amlong 10 Tablet,Amlong 10 Tablet is used for the management of hypertension (high blood pressure) and angina (chest pain due to reduced blood supply to the heart muscle).
Azee XL 200mg Dry Syrup Peppermint,Azee XL 200mg Dry Syrup Peppermint is used for the treatment of various bacterial infections.
Acenext P 100mg/325mg Tablet,Acenext P 100mg/325mg Tablet is used for pain relief.
Amlopin 5 Tablet,Amlopin 5 Tablet is used for the management of hypertension (high blood pressure) and angina (chest pain due to reduced blood supply to the heart).
Amlogard 5mg Tablet,Amlogard 5mg Tablet is used for the treatment of hypertension (high blood pressure) and angina (chest pain due to reduced blood supply to the heart).
Arpizol 10 Tablet,Arpizol 10 Tablet is used for the treatment of Schizophrenia and Mania.
Azibact LR 100 Readymix,Azibact LR 100 Readymix is utilized for the treatment of various bacterial infections.
Amicline Tablet,Amicline Tablet is used for the treatment of worm infections and intestinal amoebiasis.
Arpizol 2mg Tablet,Arpizol 2mg Tablet is used for the treatment of Schizophrenia and Mania conditions.
Acutret 10 Capsule,Acutret 10 Capsule is used for the treatment of acne.
Amaryl M Forte 2mg Tablet PR,Amaryl M Forte 2mg Tablet PR is utilized for the management of Type 2 diabetes mellitus.
Ampilox DS Tablet,Ampilox DS Tablet is used for the treatment of various bacterial infections.
Alzil 5 Tablet,Alzil 5 Tablet is used for the treatment of Alzheimer's disease.
Azoran 25 Tablet,Azoran 25 Tablet is utilized for preventing organ rejection in transplant patients and for the management of rheumatoid arthritis.
Angicam-Beta Tablet,Angicam-Beta Tablet is used for the management of hypertension (high blood pressure).
Altonil 5 Tablet MD,Altonil 5 Tablet MD is used for the treatment of insomnia and jet lag symptoms.
Abd 400mg Tablet,Abd 400mg Tablet is utilized for treating parasitic infections.
Amlosafe TM 40 Tablet,Amlosafe TM 40 Tablet is utilized for the management of hypertension (high blood pressure).
Anxipan Capsule,"Anxipan Capsule is used for managing symptoms of acidity, heartburn, and anxiety."
Amtas-AT Tablet,Amtas-AT Tablet is used for managing hypertension (high blood pressure).
Azimax 500 Tablet,Azimax 500 Tablet is utilized for the treatment of bacterial infections.
Aztogold 20 Capsule,Aztogold 20 Capsule is used for the treatment of heart attacks.
Aldactone 100 Tablet,"Aldactone 100 Tablet is used for the management of hypertension (high blood pressure), edema (swelling due to fluid retention), low potassium levels, and heart failure."
Amitone 25mg Tablet,"Amitone 25mg Tablet is utilized for the treatment of depression, neuropathic pain, and migraines."
Acimol-SP Tablet,Acimol-SP Tablet is used for pain relief.
Afdura Tablet ER,Afdura Tablet ER is utilized for the treatment of benign prostatic hyperplasia (BPH).
Aceclo SR Tablet,Aceclo SR Tablet is utilized for providing pain relief.
Acrotac 25mg Capsule,Acrotac 25mg Capsule is utilized for the treatment of Psoriasis.
Air 120 Tablet,"Air 120 Tablet is used for the relief of symptoms such as sneezing and a runny nose that occur due to allergies, as well as for managing various allergic conditions."
Alight Plus Gel 15gm for Acne Treatment,Alight Plus Gel 15gm is specifically designed for the treatment of acne.
Asthakind-DX Syrup Sugar Free,Asthakind-DX Sugar Free Syrup is intended for the relief of dry cough.
Avas CV 10 Capsule,Avas CV 10 Capsule is utilized for the prevention of heart attacks and the management of high cholesterol levels.
AB Phylline Syrup,"AB Phylline Syrup is used for the treatment of asthma, bronchitis, and chronic obstructive pulmonary disease (COPD)."
Amlokind-H Tablet,Amlokind-H Tablet is used for the management of hypertension (high blood pressure).
Amtas-M 50 Tablet PR,Amtas-M 50 Tablet PR is used for the management of hypertension (high blood pressure).
Aclind BP 2.5% Gel,Aclind BP 2.5% Gel is used for the treatment of acne.
Aprezo 10 Tablet,Aprezo 10 Tablet is used for the treatment of plaque psoriasis.
Arbitel-AM Tablet,Arbitel-AM Tablet is used for managing high blood pressure (Hypertension).
Anabel-CT Gel,Anabel-CT Gel is used for the treatment of mouth ulcers.
Anafortan-MF 50mg/250mg Tablet,Anafortan-MF 50mg/250mg Tablet is utilized for managing abdominal cramps.
Acnedap Gel,Acnedap Gel is used for the treatment of acne.
Aziderm 20% Gel,Aziderm 20% Gel is utilized for the treatment of acne.
Asthakind-LS Junior Expectorant,Asthakind-LS Junior Expectorant is intended for managing coughs accompanied by mucus in children.
Atonide Cream,Atonide Cream is used for the treatment of skin conditions that present symptoms such as inflammation and itching.
Ampoxin 250 Capsule,Ampoxin 250 Capsule is used for the treatment of various bacterial infections.
Ascoril Flu Drops,Ascoril Flu Drops are used for the treatment of common colds.
Aerodil  Expectorant,Aerodil Expectorant is utilized for relieving coughs associated with excessive mucus production.
Alevo 500 Tablet,Alevo 500 Tablet is used for the treatment of various bacterial infections.
Amaryl M Forte 1mg Tablet PR,Amaryl M Forte 1mg Tablet PR is utilized for the management of Type 2 diabetes mellitus.
Acimol MR 100mg/325mg/250mg Tablet,Acimol MR 100mg/325mg/250mg Tablet is used for the relief of muscular pain.
Anfoe 10000IU Injection,Anfoe 10000IU Injection is utilized for the treatment of anemia associated with chronic kidney disease and anemia resulting from cancer chemotherapy.
Acnovate Gel,Acnovate Gel is used for treating acne conditions.
Alcarex Eye Drop,Alcarex Eye Drop is utilized for managing allergic eye diseases.
Alex-L Cough Syrup Mango Sugar Free,Alex-L Cough Syrup Mango Sugar Free is designed for the relief of dry coughs.
Azifast 500 Tablet,Azifast 500 Tablet is utilized for the treatment of various bacterial infections.
Azivent 500 Tablet,Azivent 500 Tablet is used for the treatment of various bacterial infections.
Amlong-H Tablet,Amlong-H Tablet is used for managing hypertension (high blood pressure).
Ambrolite Levo Syrup,Ambrolite Levo Syrup is used for the relief of cough associated with excess mucus production.
Anaflam TH  4  Tablet,Anaflam TH 4 Tablet is used for the relief of muscular pain.
Alex P Syrup,Alex P Syrup is utilized for the treatment of common cold symptoms.
Amlopres AT 25 Tablet,Amlopres AT 25 Tablet is utilized for the management of hypertension (high blood pressure).
AB-Next Gel,AB-Next Gel is utilized for the treatment of acne.
Airz Capsule,"Airz Capsule is utilized for the treatment of chronic obstructive pulmonary disease, provides anesthetic effects in general applications, and aids in managing peptic ulcer disease."
Amrox Syrup,Amrox Syrup is utilized for managing coughs associated with mucus production.
Alkasol Oral Solution Sugar Free,Alkasol Oral Solution Sugar Free is utilized for managing symptoms of gout and preventing the formation of kidney stones.
Atchol-ASP Capsule,Atchol-ASP Capsule is utilized for the treatment of heart attacks and strokes.
Amlovas-M 5/50 Tablet PR,Amlovas-M 5/50 Tablet PR is used for managing hypertension (high blood pressure).
Atchol 40 Tablet,Atchol 40 Tablet is used for managing high cholesterol levels and in the prevention of heart attacks.
Arflur 3D Tablet,Arflur 3D Tablet is used for the relief of pain.
Aerocort Forte Rotacap,Aerocort Forte Rotacap is used for the management of asthma symptoms.
Aginal-AT Tablet,Agingal-AT Tablet is used for managing hypertension (high blood pressure).
Azibact 200 Readymix Oral Suspension,Azibact 200 Readymix Oral Suspension is utilized for the treatment of various bacterial infections.
Asprito 2 Tablet,Asprito 2 Tablet is utilized for the management of Schizophrenia and Mania conditions.
Altacef 500 Tablet,Altacef 500 Tablet is used for the treatment of various bacterial infections.
Airz-FF Capsule,Airz-FF Capsule is utilized for general anaesthesia as well as in the management of peptic ulcer disease.
Advent 228.5mg Dry Syrup Tangy Orange,Advent 228.5mg Dry Syrup Tangy Orange is utilized for the treatment of resistant tuberculosis and various bacterial infections.
Azithral-XL 100 Liquid,Azithral-XL 100 Liquid is utilized for treating various bacterial infections.
Amlong MT 50 Tablet PR,Amlong MT 50 Tablet PR is utilized for the management of hypertension (high blood pressure).
Actrapid 100 IU/ml Flexpen,Actrapid 100 IU/ml Flexpen is used for the management of diabetes mellitus.
Acamptas 333 Tablet,Acamptas 333 Tablet is used for the treatment of alcohol addiction.
Acinil-O Oral Suspension,"Acinil-O Oral Suspension is utilized for the relief of acidity, heartburn, and treatment of stomach ulcers."
AF-K Lotion,AF-K Lotion is utilized for treating fungal skin infections and managing dandruff.
Anafortan Drop,Anafortan Drop is utilized for alleviating abdominal cramps.
Anti-Thyrox 10 Tablet,Anti-Thyrox 10 Tablet is utilized for the management of hyperthyroidism conditions.
Amyclox-LB Capsule,Amyclox-LB Capsule is used for the treatment of various bacterial infections.
Alphagan Z Ophthalmic Solution,Alphagan Z Ophthalmic Solution is utilized for the treatment of glaucoma.
Azithral Eye Drop,Azithral Eye Drop is utilized for treating bacterial eye infections.
Addphos Granules,Addphos Granules are utilized for managing high calcium levels in the blood and hyperparathyroidism conditions.
Azulix 1 Tablet,Azulix 1 Tablet is used for the management of Type 2 diabetes mellitus.
Aricep 23 SR Tablet,Aricep 23 SR Tablet is used for the treatment of Alzheimer's disease.
Aceloflam Plus Tablet,Aceloflam Plus Tablet is utilized for providing pain relief.
Amantex Tablet,Amantex Tablet is used for managing symptoms of Parkinson's disease.
Altonil 5mg Tablet,Altonil 5mg Tablet is used for the treatment of insomnia and jet lag symptoms.
AZR Tablet,AZR Tablet is utilized for the prevention of organ rejection in transplant patients and the management of rheumatoid arthritis.
Aquazide 25 Tablet,Aquazide 25 Tablet is used for the management of hypertension (high blood pressure) and edema (fluid retention).
Asthalin Plus Expectorant,Asthalin Plus Expectorant is used for the relief of cough associated with excessive mucus production.
Axalin  Expectorant,Axalin Expectorant is utilized for alleviating cough symptoms.
Aquasurge  Max Eye Drop,Aquasurge Max Eye Drop is used for the relief of symptoms associated with dry eyes.
Ambrodil-LX Drop,Ambrodil-LX Drop is used for the treatment of acute sore throats and coughs accompanied by mucus.
Aldonil Tablet,Aldonil Tablet is utilized for managing diabetic nerve pain.
Alcros 100 Capsule,Alcros 100 Capsule is used for the treatment of fungal infections.
Aspisol 75 Tablet,Aspisol 75 Tablet is utilized for the prevention and treatment of heart attacks and strokes.
Advent 228.5mg Dry Syrup,"Advent 228.5mg Dry Syrup is utilized for the management of resistance, tuberculosis, and various bacterial infections."
Atorfit CV 20 Capsule,Atorvastatin CV 20 Capsule is utilized for the prevention of heart attacks and management of high cholesterol levels.
Atchol 20 Tablet,Atchol 20 Tablet is used for managing high cholesterol levels and preventing heart attacks.
Anafortan N 100 mg/50 mg Tablet,Anafortan N 100 mg/50 mg Tablet is utilized for the relief of abdominal cramps.
Amlovas H  Tablet,"Amlovas H Tablet is used for the management of hypertension, or high blood pressure."
Axogurd NT Tablet SR,Axogurd NT Tablet SR is utilized for managing neuropathic pain.
Azulix 2 MF Forte Tablet PR,Azulix 2 MF Forte Tablet PR is used for the management of Type 2 diabetes mellitus.
Aztor 80 Tablet,Aztor 80 Tablet is used for the management of high cholesterol levels and to prevent recurrent heart attacks.
Abel 40 Tablet,"Abel 40 Tablet is used for the management of hypertension (high blood pressure), heart failure, prevention of heart attacks, and reduction of stroke risk."
Ambrolite 2S Expectorant,Ambrolite 2S Expectorant is used for the relief of cough symptoms.
Amlodac 2.5 Tablet,Amlodac 2.5 Tablet is utilized for managing hypertension (high blood pressure) and angina (chest pain due to reduced blood flow to the heart).
Amlokind 2.5 Tablet,Amlokind 2.5 Tablet is used for managing hypertension (high blood pressure) and angina (chest pain due to reduced blood supply to the heart).
